fold,acc,prec,recall,f1,roc_auc
1,0.9991449935485877,0.9981984725076756,0.9990096244191067,0.9986038837415916,0.9999882306098169
2,0.9990439399003521,0.9976672836532366,0.9992127583930114,0.9984394229671264,0.999989790130395
3,0.9991294412100767,0.9981983810804639,0.9989588359277788,0.9985784637254405,0.9999770132212153
4,0.9989895299759819,0.9978184216534335,0.998882653190787,0.9983502538071066,0.999978798162985
5,0.9987563445858239,0.9971604593971047,0.9987810762081313,0.9979701098678034,0.9999661499660468
