fold,acc,prec,recall,f1,roc_auc
1,0.9991449935485875,0.9981984725076756,0.9990096244191068,0.9986038837415916,0.9999882306098168
2,0.999043939900352,0.9976672836532366,0.9992127583930114,0.9984394229671264,0.999989790130395
3,0.9991294412100769,0.998198381080464,0.9989588359277788,0.9985784637254403,0.9999770132212152
4,0.998989529975982,0.9978184216534336,0.998882653190787,0.9983502538071066,0.999978798162985
5,0.998756344585824,0.9971604593971048,0.9987810762081312,0.9979701098678034,0.9999661499660468
mean,0.9990128498441646,0.9978086036583829,0.998968989627763,0.9983884268218137,0.9999799964180918
std,0.00015681267536944365,0.00043130119369241197,0.00016120090603738118,0.00025572571679496143,9.562664732976182e-06
