fold,acc,prec,recall,f1,auc
1,0.8895721948998991,0.9058424184595151,0.9726318048402282,0.9380497591491606,0.8995489763153091
2,0.8941064112748467,0.9224619263943645,0.9572707260342249,0.9395440323681985,0.9040426629947559
3,0.8953080836630865,0.9232737767545836,0.9578001529882905,0.9402201058057238,0.9133083186033388
4,0.9002647942637827,0.928374461575621,0.9578729855457717,0.9428930637610646,0.9221961702460713
5,0.8986165243521467,0.9208270031045643,0.96502741319156,0.9424092264218547,0.9206100231920689
mean,0.8955736016907523,0.9201559172577298,0.9621206165200149,0.9406232375012002,0.9119412302703086
std,0.004168533827658181,0.00848395250967704,0.006692622029876641,0.002018158652465298,0.009976673020461244
